Nome do alimento,Hidratos de carbono (CHO)
Lombo de porco panado,8.5
Lombo de vaca magro assado com azeite e margarina,0
"Lombo de vaca magro assado com azeite, manteiga e óleo alimentar",0
Lombo de vaca magro assado com margarina,0
Lombo de vaca magro assado com óleo alimentar e margarina,0
"Lombo de vaca magro assado, sem molho",0
Lombo de vaca magro cru,0
Lombo de vaca no forno,2.5
Lombo de vitela assado com azeite e margarina,0.2
"Lombo de vitela assado com azeite, margarina e óleo alimentar",0.2
Lombo de vitela assado com margarina e óleo alimentar,0.2
"Lombo de vitela assado, sem molho",0
Lombo de vitela cru,0
Lombo de vitela frito com margarina,0
"Lombo de vitela frito, sem molho",0
Lombo de vitela grelhado,0
Lombo ou pá de cavalo assado com azeite e manteiga,0.1
Lombo ou pá de cavalo assado com margarina,0.1
"Lombo ou pá de cavalo assado, sem molho",0
Lombo ou pá de cavalo cru,0
Lombo ou pá de cavalo frito com manteiga,0
Lombo ou pá de cavalo frito com margarina,0
Lula crua,0
"Lula estufada com cebola, tomate e azeite",2.9
Lula grelhada,0
Maçã assada com açúcar,23.9
Maçã assada sem açúcar,15.7
Maçã com casca,13.4
Maçã cozida com açúcar,17
Maçã cozida sem açúcar,10.5
Maçã seca,57.1
Maçã sem casca,12.7
Madalena,54.7
"Maionese caseira, com ovo e azeite",0
"Maionese caseira, com ovo e óleo de soja",0
Manga,11.7
Manteiga com sal,0.7
Manteiga sem sal,0.7
"Margarina 3/4, de girassol",0.3
"Margarina culinária para folhados, com sal",0.4
"Margarina industrial para pastelaria, com sal",0.4
"Margarina líquida, 65% gordura, com sal",0
"Margarina vegetal culinária, 80% gordura, com sal",0.4
"Margarina vegetal culinária, com alho e sal",4.4
Marmelada,69.7
Marmelo,9.3
Maruca cozida,0
Maruca crua,0
Massa com ovo cozida,13.3
Massa com ovo crua,67.6
Massa de pimentão,4.4
Massa miúda crua,70
Massa para lasanha cozida,22.6
Massa para lasanha crua,71.4
Massa quebrada para quiche,52.4
Meia-desfeita de bacalhau,14.8
Mel,78
Melancia,5.5
Melão (3 variedades),5.7
Meloa,4.2
Merengue,83
Mexilhão cozido sem sal,2.8
Mexilhão cru,2
"Milho, amido (pó)",90.2
"Milho, grão seco cru",70.3
Minarina (meia margarina),0.4
"Molho ""Béchamel"" com manteiga",9.6
"Molho ""Béchamel"" com margarina",9.9
Molho branco com caldo de carne de vaca,6.8
Molho branco com margarina,18.5
Molho de bife frito com manteiga,0.4
Molho de carne de vaca assada com azeite e margarina,0.3
Molho de carne de vaca assada com margarina,0.4
Molho de carne de vaca estufada com azeite e margarina,0.4
"Molho de carne de vaca estufada com vegetais, azeite e margarina",1.3
Molho de lombo de porco frito com banha,0
Molho de lombo de porco frito com banha e margarina,0.1
Molho de lombo de porco frito com margarina,0.2
Molho de lombo de vaca frito com creme vegetal sem sal,0.2
Molho de lombo de vaca frito com margarina,0.2
Molho de tomate,4.9
